id,czech,part_of_speech,gender_aspect,genitive,level,category,russian,ukrainian,english,note,image_query,image_url,example_1_cs,example_1_ru,example_1_uk,example_2_cs,example_2_ru,example_2_uk
428,z,предл.,,,A1,Предлоги,из; с,з,from; out of,,,,Jdu z práce.,Я иду с работы.,Я йду з роботи.,Jsem z Ukrajiny.,Я из Украины.,Я з України.
429,za,предл.,,,A1,Предлоги,за,за,behind; in,,,,Auto stojí za domem.,Машина стоит за домом.,Машина стоїть за будинком.,Přijdu za hodinu.,Я приду через час.,Я прийду за годину.
430,ahoj,межд.,,,A1,Приветствия и вежливость,привет; пока,привіт; бувай,hi; bye,"Неформальное, и при встрече, и при прощании",,,"Ahoj, jak se máš?","Привет, как дела?","Привіт, як справи?","Ahoj, zítra se uvidíme.","Пока, увидимся завтра.","Бувай, побачимося завтра."
431,čau,межд.,,,A1,Приветствия и вежливость,пока; привет,па; привіт,hi; bye,Разговорное,,,"Čau, jak je?","Привет, как оно?","Привіт, як воно?","Čau, měj se!","Пока, всего хорошего!","Бувай, тримайся!"
432,děkuji,гл.,несов.,,A1,Приветствия и вежливость,спасибо; благодарю,дякую,thank you,,,,Děkuji za pomoc.,Спасибо за помощь.,Дякую за допомогу.,Moc vám děkuji.,Большое вам спасибо.,Дуже вам дякую.
433,díky,межд.,,,A1,Приветствия и вежливость,спасибо,дякую,thanks,Разговорное,,,Díky za všechno.,Спасибо за всё.,Дякую за все.,"Díky, jsi zlatý.","Спасибо, ты золото.","Дякую, ти золото."
434,dobré ráno,фраза,,,A1,Приветствия и вежливость,доброе утро,доброго ранку,,,,,"Dobré ráno, jak jsi spal?","Доброе утро, как спалось?","Доброго ранку, як спалося?","Dobré ráno, tady je vaše káva.","Доброе утро, вот ваш кофе.","Доброго ранку, ось ваша кава."
435,dobrou noc,фраза,,,A1,Приветствия и вежливость,спокойной ночи,надобраніч,,,,,"Dobrou noc, spi dobře.","Спокойной ночи, спи хорошо.","Надобраніч, спи добре.","Už jdu spát, dobrou noc.","Я уже иду спать, спокойной ночи.","Я вже йду спати, надобраніч."
436,dobrý den,фраза,,,A1,Приветствия и вежливость,добрый день; здравствуйте,добрий день; вітаю,,Универсальное вежливое приветствие,,,"Dobrý den, potřebuji pomoc.","Здравствуйте, мне нужна помощь.","Добрий день, мені потрібна допомога.","Dobrý den, máte volný stůl?","Здравствуйте, у вас есть свободный столик?","Добрий день, у вас є вільний столик?"
437,dobrý večer,фраза,,,A1,Приветствия и вежливость,добрый вечер,добрий вечір,,,,,"Dobrý večer, vítejte.","Добрый вечер, добро пожаловать.","Добрий вечір, ласкаво просимо.","Dobrý večer, jak se máte?","Добрый вечер, как вы?","Добрий вечір, як ви?"
438,jak se máš,фраза,,,A1,Приветствия и вежливость,как дела,як справи,,,,,"Ahoj, jak se máš?","Привет, как дела?","Привіт, як справи?",Jak se máš po nemoci?,Как ты после болезни?,Як ти після хвороби?
439,jak se máte,фраза,,,A1,Приветствия и вежливость,как у вас дела,як у вас справи,,,,,"Dobrý den, jak se máte?","Здравствуйте, как у вас дела?","Добрий день, як у вас справи?",Jak se máte v nové práci?,Как у вас дела на новой работе?,Як у вас справи на новій роботі?
440,na shledanou,фраза,,,A1,Приветствия и вежливость,до свидания,до побачення,,,,,"Na shledanou, děkuji.","До свидания, спасибо.","До побачення, дякую.",Na shledanou zítra.,До завтра.,До завтра.
441,na zdraví,фраза,,,A1,Приветствия и вежливость,будем здоровы; будь здоров,будьмо; на здоров'я,,Тост или ответ на чихание,,,Na zdraví!,За здоровье!,Будьмо!,Kýchl jsi — na zdraví!,Ты чихнул — будь здоров!,Ти чхнув — будь здоровий!
442,pomoc,сущ.,ж.р.,pomoci,A1,Приветствия и вежливость,помощь,допомога,help,,help,https://loremflickr.com/640/480/help,Potřebuji vaši pomoc.,Мне нужна ваша помощь.,Мені потрібна ваша допомога.,Děkuji za pomoc.,Спасибо за помощь.,Дякую за допомогу.
443,pozor,сущ.,м.р.,pozoru,A1,Приветствия и вежливость,внимание; осторожно,увага; обережно,attention; look out,Ложный друг: НЕ «позор»,"caution,warning","https://loremflickr.com/640/480/caution,warning","Pozor, auto!","Осторожно, машина!","Обережно, машина!",Pozor na schody.,"Осторожно, ступеньки.","Обережно, сходи."
444,promiň,гл.,сов.,,A1,Приветствия и вежливость,извини,вибач,sorry (informal),,,,"Promiň, nemohl jsem přijít.","Извини, я не смог прийти.","Вибач, я не зміг прийти.","Promiň, zapomněl jsem.","Извини, я забыл.","Вибач, я забув."
445,promiňte,гл.,сов.,,A1,Приветствия и вежливость,извините,вибачте,excuse me; sorry,,,,"Promiňte, kde je metro?","Извините, где метро?","Вибачте, де метро?","Promiňte, nerozuměl jsem.","Извините, я не понял.","Вибачте, я не зрозумів."
446,prosím,частица,,,A1,Приветствия и вежливость,пожалуйста,будь ласка,please; you're welcome,Также ответ на «спасибо»,,,"Kávu, prosím.","Кофе, пожалуйста.","Каву, будь ласка.","Prosím, posaďte se.","Пожалуйста, садитесь.","Будь ласка, сідайте."
447,těší mě,фраза,,,A1,Приветствия и вежливость,приятно познакомиться,приємно познайомитися,,,,,"Těší mě, jsem Viktor.","Приятно познакомиться, я Виктор.","Приємно познайомитися, я Віктор.","Těší mě, že vás poznávám.",Рад с вами познакомиться.,Радий з вами познайомитися.
448,vítejte,межд.,,,A1,Приветствия и вежливость,добро пожаловать,ласкаво просимо,welcome,,welcome,https://loremflickr.com/640/480/welcome,Vítejte v Praze!,Добро пожаловать в Прагу!,Ласкаво просимо до Праги!,Vítejte u nás doma.,Добро пожаловать к нам домой.,Ласкаво просимо до нас додому.
449,celý,прил.,,,A1,Прилагательные,целый; весь,цілий; увесь,whole; entire,,,,Celý den jsem pracoval.,Я работал целый день.,Я працював цілий день.,Přečetl jsem celou knihu.,Я прочитал всю книгу.,Я прочитав усю книгу.
450,čistý,прил.,,,A1,Прилагательные,чистый,чистий,clean,,clean,https://loremflickr.com/640/480/clean,Pokoj je čistý.,Комната чистая.,Кімната чиста.,Potřebuji čisté tričko.,Мне нужна чистая футболка.,Мені потрібна чиста футболка.
